,label,hashtags,urls,users,rt,uppercase_chars,min_chars,max_chars,tot_chars,uppercase_words,min_words,max_words,tot_words,min_words_alt,max_words_alt,tot_words_alt,stop_words,emojis,sentiments_positive,sentiments_negative,sentiments_neutral,ner1_PERSON,ner1_ORG,ner1_LOC,ner1_MISC,ner2_PER,ner2_ORG,ner2_LOC,ner2_MISC
0,0,10,92,22,195,1245,11,122,14535,891,3,24,2436,3,24,2553,959,15,46,42,112,68,80,34,402,99,50,36,95
1,0,14,121,140,34,1798,9,121,10369,650,2,24,1867,4,25,2137,814,321,40,27,133,26,128,32,301,55,33,19,103
2,0,19,99,253,73,457,13,140,12253,356,3,24,2207,4,26,2576,1137,22,71,31,98,14,22,13,314,38,13,24,29
3,0,35,63,168,103,863,10,127,13290,557,3,23,2322,3,24,2576,1055,53,60,57,83,70,78,33,367,76,51,38,66
4,0,0,22,213,3,496,13,139,14768,395,3,31,2943,4,32,3177,1520,11,82,50,68,31,29,28,237,53,28,36,42
5,0,33,113,114,23,689,4,117,8594,315,1,26,1771,2,26,1968,721,152,73,17,110,37,39,33,292,61,12,18,79
6,0,76,110,84,136,999,7,134,11820,624,2,27,2184,3,27,2432,976,53,79,20,101,23,41,26,428,40,24,29,78
7,0,39,118,36,151,645,4,117,7685,340,1,27,1496,2,27,1683,619,123,43,25,132,31,42,18,370,61,15,15,68
8,0,0,7,3,45,525,9,128,9892,218,3,28,2111,3,28,2121,1145,85,65,49,86,16,20,3,102,29,7,8,44
9,0,0,196,0,1,6,28,79,12431,3,6,15,2075,6,15,2271,725,1,1,1,198,0,1,0,464,0,0,0,0
10,0,9,25,12,41,468,6,134,10890,235,2,28,2315,3,28,2361,1103,149,44,41,115,44,31,8,121,28,16,6,45
11,0,1,35,18,123,143,11,135,9441,79,3,30,1995,3,30,2049,1034,218,72,44,84,24,29,6,241,25,12,7,31
12,0,0,11,13,11,391,9,128,11262,175,3,29,2326,3,29,2349,1067,186,65,50,85,34,54,3,96,28,5,9,48
13,0,0,205,57,1,1235,18,116,13766,844,3,21,2214,5,22,2476,651,0,35,35,130,46,92,119,283,49,104,111,137
14,0,30,12,110,38,361,11,135,8843,264,2,25,1763,3,25,1907,803,248,65,36,99,19,28,22,227,33,5,11,51
15,0,0,57,11,85,437,12,125,13765,219,3,28,2699,3,28,2767,1475,110,108,40,52,67,15,8,192,27,17,47,36
16,0,2,19,3,184,845,10,122,11733,338,3,24,2355,3,24,2379,1160,164,66,44,90,48,31,8,312,38,14,11,80
17,0,1,19,27,29,360,5,123,8498,219,1,22,1754,1,22,1801,913,48,78,35,87,11,12,9,109,29,8,17,33
18,0,13,38,110,32,370,10,140,11473,295,3,27,2223,3,27,2383,1106,71,71,44,85,26,23,14,235,42,10,21,43
19,0,0,43,11,85,475,14,132,10412,242,3,31,2085,3,31,2139,1045,119,66,39,95,56,16,11,216,33,6,11,48
20,0,1,47,11,114,310,4,111,10705,189,1,25,2186,2,25,2245,1159,93,74,46,80,19,17,5,211,33,12,15,49
21,0,5,37,37,31,354,9,116,7693,249,3,21,1564,3,22,1642,692,70,51,35,114,35,27,5,150,52,7,6,36
22,0,12,21,203,28,507,11,128,10901,353,3,25,2042,3,27,2271,1135,4,102,28,70,19,28,9,258,36,10,17,34
23,0,28,94,60,87,651,11,140,9644,358,2,30,1976,3,30,2152,967,243,64,32,104,42,47,10,306,50,14,5,70
24,0,0,50,31,47,317,8,140,10055,174,3,29,2127,3,29,2208,1014,374,52,52,96,130,46,2,190,32,12,10,39
25,0,1,60,99,6,371,9,138,10254,211,2,29,2112,3,29,2272,970,176,61,60,79,53,24,4,245,45,7,6,35
26,0,0,93,3,179,793,12,136,10073,289,3,25,2054,4,25,2148,1066,141,50,43,107,36,33,5,356,33,19,9,69
27,0,5,67,155,16,503,9,137,9693,213,2,27,1862,4,27,2089,946,23,78,31,91,18,25,9,228,29,17,12,57
28,0,9,5,1,174,483,9,120,11839,196,3,28,2457,3,28,2471,1329,96,77,61,62,22,33,3,253,21,13,5,36
29,0,4,153,18,25,132,11,99,9893,91,3,21,1775,3,22,1949,729,77,25,27,148,14,4,3,333,13,2,3,12
30,0,2,55,67,65,492,9,143,8864,270,2,28,1874,3,28,1998,791,227,75,30,95,48,36,7,227,31,8,4,65
31,0,0,11,343,4,356,9,121,10765,280,3,21,1814,4,23,2168,917,0,57,32,111,9,13,12,258,33,12,17,37
32,0,8,102,8,86,554,7,132,9910,284,2,29,2002,3,29,2120,972,129,51,55,94,34,29,15,266,43,21,14,57
33,0,58,4,232,1,254,10,134,12269,227,3,27,2527,4,28,2820,1340,25,67,61,72,10,16,10,299,23,25,14,33
34,0,2,51,45,71,567,11,132,10852,302,3,28,2215,3,28,2311,1103,170,58,42,100,26,47,8,206,46,15,8,58
35,0,0,34,66,42,549,12,140,11970,356,3,29,2287,4,29,2387,1173,48,71,38,91,41,29,14,187,45,24,17,50
36,0,20,60,149,77,490,10,139,10895,247,2,26,2143,3,26,2368,1096,261,72,43,85,65,40,11,329,49,10,9,68
37,0,16,66,69,68,580,11,120,9331,314,3,24,1765,3,25,1916,864,120,65,49,86,46,31,15,278,39,13,20,42
38,0,10,29,70,23,409,5,121,8085,209,2,26,1717,3,26,1824,772,143,60,37,103,30,26,12,172,31,10,14,46
39,0,11,44,92,141,1906,10,127,12028,721,3,27,2428,3,27,2575,949,413,95,30,75,28,175,11,430,32,51,16,110
40,0,13,30,66,44,294,7,93,7835,173,3,23,1652,3,24,1761,764,95,51,39,110,27,32,5,181,45,9,7,42
41,0,7,80,37,120,550,13,124,10025,313,3,25,2042,3,25,2164,1009,135,76,29,95,38,43,16,319,59,21,12,59
42,0,8,160,17,188,726,8,121,9117,348,2,23,1809,3,23,1990,833,244,61,38,101,70,49,11,452,49,24,14,50
43,0,2,85,9,174,693,8,125,10800,317,3,27,2154,3,27,2250,1045,166,54,52,94,46,29,5,369,40,18,8,56
44,0,6,70,14,86,753,12,136,10403,346,3,28,2005,4,28,2092,955,168,74,36,90,34,33,12,239,43,17,13,61
45,0,2,92,12,161,479,12,122,10091,221,3,24,1981,3,24,2086,949,119,54,48,98,43,28,5,341,37,19,12,47
46,0,533,194,0,0,682,17,112,10233,540,3,21,1825,3,22,2524,795,0,65,19,116,49,30,23,408,101,31,25,69
47,0,2,11,177,0,505,7,140,9142,311,2,27,1808,4,28,1998,967,94,68,30,102,33,32,4,196,36,9,7,46
48,0,4,87,7,195,714,11,119,10105,381,3,25,1980,3,25,2077,1006,136,72,25,103,30,32,8,385,41,19,9,85
49,0,1,67,69,43,497,10,139,12217,229,3,28,2401,3,28,2537,1265,45,62,51,87,19,19,5,225,38,22,11,48
50,0,0,8,267,0,1268,18,141,16917,746,3,25,2827,4,26,3102,1169,9,70,56,74,29,104,46,259,75,43,52,102
51,0,2,83,24,158,620,10,133,11929,320,3,29,2320,3,29,2427,1207,225,52,50,98,48,45,5,303,31,8,15,77
52,0,4,56,48,140,539,11,124,10779,310,3,27,2071,3,27,2177,1036,65,81,32,87,11,37,15,332,36,20,13,42
53,0,8,53,167,81,468,10,118,10505,277,3,23,2023,3,23,2251,980,17,65,46,89,20,20,14,296,52,7,26,57
54,0,11,61,104,34,571,10,136,11066,193,3,27,2092,3,27,2266,973,22,71,39,90,13,24,6,246,31,28,9,47
55,0,57,60,227,4,589,8,123,10673,410,2,22,1880,4,23,2208,985,1,77,34,89,18,35,34,315,24,29,36,57
56,0,285,185,21,16,392,9,112,9488,343,2,18,1716,4,22,2135,785,6,61,40,99,25,31,19,399,37,24,17,42
57,0,20,206,92,0,2248,24,113,14373,1874,4,20,2322,5,21,2639,702,0,58,24,118,105,95,40,253,69,71,30,194
58,0,1,129,0,0,862,12,141,11109,702,3,25,1985,3,25,2115,664,27,129,8,63,64,64,26,197,66,53,50,124
59,0,11,122,122,22,582,8,126,11400,427,2,24,2137,4,25,2389,1000,14,65,46,89,23,29,28,270,46,26,31,50
60,0,0,176,291,31,2525,14,124,12743,1319,3,25,2133,4,25,2598,808,164,34,32,134,53,114,48,378,60,66,26,123
61,0,5,81,293,14,667,13,123,12226,546,3,22,2088,4,23,2440,934,44,69,29,102,54,70,33,359,55,26,44,77
62,0,18,127,109,127,788,10,115,9529,377,3,24,1803,4,24,2053,850,20,75,36,89,24,24,5,372,45,15,2,62
63,0,7,154,36,51,1053,7,140,10980,488,2,24,1915,3,25,2111,897,38,82,23,95,9,37,10,277,27,56,16,96
64,0,312,85,105,73,1044,12,124,10697,599,2,20,1846,4,22,2342,670,59,54,38,108,41,149,21,339,69,118,23,65
65,0,213,154,32,61,790,10,114,12233,647,3,23,2109,3,24,2478,823,8,60,26,114,58,52,47,397,83,43,49,73
66,0,101,193,152,6,664,12,121,10705,526,2,22,1875,4,23,2305,862,41,61,40,99,47,36,40,332,31,30,31,69
67,0,13,37,224,44,428,9,125,8730,324,1,24,1737,1,25,2009,752,235,56,35,109,55,60,16,312,48,14,28,63
68,0,5,67,50,169,1024,11,121,13144,749,2,25,2393,3,25,2514,1130,30,60,40,100,60,81,26,357,80,39,41,73
69,0,40,93,245,94,648,12,121,12610,463,3,24,2320,4,25,2689,1090,26,68,45,87,13,47,31,397,42,14,28,74
70,0,54,96,31,137,1030,11,118,11277,699,3,22,2025,3,23,2194,805,88,58,19,123,44,133,26,370,83,48,41,90
71,0,50,115,70,163,691,9,124,12602,447,3,26,2280,3,27,2503,969,132,54,47,99,23,47,46,430,55,26,56,71
72,0,16,41,170,98,1059,9,126,11741,542,1,25,2173,2,25,2393,1034,236,73,37,90,112,78,18,334,58,37,31,84
73,0,14,102,106,48,654,12,134,12087,508,2,24,2095,3,24,2302,1019,10,64,34,102,56,45,7,290,64,13,22,80
74,0,58,124,135,75,709,10,115,9771,501,2,25,1853,3,26,2170,778,95,79,22,99,81,43,18,350,58,22,34,101
75,0,22,110,238,22,437,8,124,10690,376,1,24,1911,3,26,2278,861,12,46,25,129,21,23,39,324,32,22,38,50
76,0,24,96,107,139,717,11,138,12229,503,3,25,2168,3,25,2381,1042,41,77,30,93,42,70,28,386,58,51,36,62
77,0,36,99,152,121,700,7,120,11093,563,2,24,1931,3,24,2212,825,18,62,37,101,41,48,22,393,67,44,21,73
78,0,2,28,20,67,496,10,119,7689,167,2,24,1526,3,24,1575,755,47,65,41,94,10,15,15,160,18,11,16,53
79,0,6,26,251,195,716,7,117,9835,491,2,22,1843,4,23,2124,981,36,62,26,112,32,32,9,283,43,18,13,59
80,0,34,135,61,169,815,11,125,13489,593,3,25,2319,4,25,2541,1037,16,74,35,91,41,51,31,439,50,24,43,72
81,0,20,94,70,193,958,13,118,12085,565,3,23,2156,3,24,2333,1000,64,57,20,123,38,87,21,433,81,50,27,64
